,Allianz,BMW,Daimler,DeutscheBörse,Bayer,DeutscheBank,Continental,Adidas,BASF,Covestro
VWAP_Score,-1121.2426972279118,-124.48368386930483,-248.11003034704612,391.08362809404576,-447.0854428585428,-587.3307746541626,-8.299999999997738,-811.890809525613,-372.1338427249504,-256.90749070361636
pnl_realized,35.528,13.16,0.0,42.55,76.602,0.0,-8.3,14.0,1.48,5.07
n_trades,66.0,28.0,4.0,17.0,99.0,3.0,5.0,6.0,8.0,8.0
n_take_prof,0,0,0,0,0,0,0,0,0,0
n_stopp_loss,0,0,0,0,0,0,0,0,0,0
dollar_volume_traded,392159.61999999976,140611.16,15013.24,141482.45,490872.96000000025,14994.419999999998,30179.6,65960.8,40038.44,40147.32
trading_costs,392.1596199999998,140.61116,15.01324,141.48245000000003,490.87296000000026,14.994419999999998,30.1796,65.9608,40.03844,40.14732
pnl_unrealized,-73.287,-243.1,-77.86,7.4,-306.602,-94.164,0.0,-60.2,-153.92,-124.69
2021-02-03 15:14:59.998607125,0 days 01:06:50.942592163,0 days 01:10:58.970544839,0 days 01:10:24.725822685,0 days 01:09:25.081022532,0 days 01:07:14.568816692,0 days 01:06:26.359731465,0 days 01:08:25.859402863,0 days 01:08:05.647323102,0 days 01:06:02.358014858,0 days 01:12:29.341865954
%-Time in the Market,1.1132694937117196,1.18211165411598,1.1726067550508146,1.1560518593017186,1.119827143046096,1.1064463222864487,1.1396144207119676,1.1340043948177165,1.0997844520947646,1.2071949437896674
VWAP_Score,508.99373624009104,-162.22754451284914,569.280000000108,-87.48985766842551,1510.5013687736232,904.1358261730265,52.39008079532334,148.23034490780788,210.4366726240637,-74.82117706874348
pnl_realized,45.927,48.112,569.28,0.0,65.0,42.864,61.212,27.75,52.356,0.0
n_trades,56.0,36.0,84.0,2.0,32.0,41.0,17.0,16.0,51.0,3.0
n_take_prof,0,0,0,0,0,0,0,0,0,0
n_stopp_loss,0,0,0,0,0,0,0,0,0,0
dollar_volume_traded,311481.6400000001,186240.44999999998,541185.0000000002,15107.4,235084.26000000004,185035.16,110258.04999999999,66905.4,286363.46000000014,15060.3
trading_costs,311.4816400000001,186.24044999999998,541.1850000000003,15.1074,235.08426000000006,185.03516000000002,110.25805,66.9054,286.36346000000015,15.0603
